Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isDerivedSafe,is:derived:safe
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInferredSafe,is:inferred:safe
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInferredSafe,is:inferred:safe
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenCombinations,print:given:combinations
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenAndGeneratedCombinationsInferredSafety,print:given:and:generated:combinations:inferred:safety,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationInferredSafety,print:generated:combination:inferred:safety
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,a2.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setLevels,set:levels
a2.Controller,controller,@SocialDistanceController,social:distance:controller,processInput,process:input,none,none,a2.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,getSingleton,get:singleton
a2.BasicModel,basic:model,@SocialDistanceBasicModel,social:distance:basic:model,isSafe,is:safe,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isGivenSafe,is:given:safe
a2.A2Tests,a:tests,A2Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
a2.A2Tests,a:tests,A2Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
a2.A2Tests,a:tests,A2Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
